display_name,group,gold_present_at20,reviewer_safe_mrr_at20,mrr_present_only,hits1_at20,hits3_at20,hits10_at20,hits20_at20,avg_gold_rank_absent_as_21,gold_rank_21_count,unique_top1_count,top1_dominance
TransE,Structure baseline,0.104,0.022207440392424914,0.2135330806963934,0.002,0.024,0.072,0.104,19.642,448,174,0.042
DistMult,Structure baseline,0.434,0.08909131895795983,0.2052795367694927,0.028,0.074,0.264,0.434,15.916,283,51,0.22
ComplEx,Structure baseline,0.574,0.12473109667250534,0.21730156214722185,0.032,0.118,0.384,0.574,13.784,213,92,0.15
RotatE,Structure baseline,0.134,0.03295814874839643,0.24595633394325692,0.014,0.036,0.074,0.134,19.436,433,153,0.05
R-GCN,Structure baseline,0.22,0.05971344459633933,0.27142474816517875,0.018,0.068,0.186,0.22,17.854,390,1,1.0
HRGAT,Structure baseline,0.212,0.03306400756106638,0.15596229981635087,0.002,0.028,0.128,0.212,18.59,394,7,0.68
DrKGC-style backbone raw,DrKGC-compatible,0.24,0.06456283026399126,0.26901179276663023,0.024,0.07,0.192,0.24,17.652,380,3,0.65
Soft support raw,FOG-RAG,0.24,0.1253261849261849,0.5221924371924371,0.072,0.166,0.222,0.24,16.804,380,10,0.48
FOG-RAG main,FOG-RAG,0.24,0.1253261849261849,0.5221924371924371,0.072,0.166,0.222,0.24,16.804,380,10,0.48
